Aff,Neg,Judge,Result,,
,Unionville WP,Reagan RW,Marquis Ard,Neg,,
,Canyon Crest RL,Mamaroneck DT,Philip DiPiazza,Aff,,
,Baltimore City BM,SWW BM,Henry Mitchell,Neg,,
,Mamaroneck GM,Banneker MP,Nathan McTeer,Neg,,
,Berkeley Prep SW,Calvert Hall CP,,Neg,,
,Berkeley Prep DV,Calvert Hall BS,Kenny Delph,Neg,,
,McDonogh MW,Pine Crest IW,Dennis Martinez,Aff,,
,Montgomery Village AE,Mamaroneck LP,,Aff,,
,Mamaroneck BO,Pine Crest YG,Thomas Pacheco,Neg,,
,Baltimore City DS,McDonogh JN,Omar Price,Neg,,
,Baltimore City PS,McDonogh HW,Sonia Suben,Neg,,
,Calvert Hall LS,Berkeley Prep TZ,Joseph Tierney,Aff,,
,Bronx Science CE,Damien DL,Jake Lee,Aff,,
,Bronx Science BD,Northview IS,DJ Williams,Neg,,
,Berkeley Prep HW,DuVal RH,Darell Womack,Neg,,
,Gilman GM,SWW CE,Jefferey Yan,Aff,,
,Zach BA,Charles Flowers MB,,Neg,,
